# This file should be in the working directory.
#
# Data from
# 'X-ray Data Booklet'
# Thompson, A.C. et al.
# Lawrence Berkeley National Laboratory, University of California, 2009,
# except those marked with *, adapted from 
# 'The Lund/LBNL Nuclear Data Search'
# Version 2.0, February 1999
# S.Y.F. Chu, L.P. Ekström and R.B. Firestone,
# and those marked with %, from fit to previouosly mentioned data.
#
# Photon energies and relative intensities of K-, L-, and M-shell lines, arranged by
# element. An intensity of 100 is assigned to the strongest line in each shell for each element.
#
# Z    Line     E (keV)   Relative intensity (%)
#------------------------------------------------
3 Li   Kα1,2    0.054     150 
4 Be   Kα1,2    0.108     150 
5 B    Kα1,2    0.183     151 
6 C    Kα1,2    0.277     147 
7 N    Kα1,2    0.392     150 
8 O    Kα1,2    0.525     151 
9 F    Kα1,2    0.677     148 
10 Ne  Kα1,2    0.849     150 
11 Na  Kα1,2    1.041     150 
12 Mg  Kα1,2    1.254     150 
13 Al  Kα2      1.486     50 
13 Al  Kα1      1.487     100 
13 Al  Kβ1      1.557     1 
14 Si  Kα2      1.739     50 
14 Si  Kα1      1.74      100 
14 Si  Kβ1      1.836     2 
15 P   Kα2      2.013     50 
15 P   Kα1      2.014     100 
15 P   Kβ1      2.139     3 
16 S   Kα2      2.307     50 
16 S   Kα1      2.308     100 
16 S   Kβ1      2.464     5 
17 Cl  Kα2      2.621     50 
17 Cl  Kα1      2.622     100 
17 Cl  Kβ1      2.816     6 
18 Ar  Kα2      2.956     50 
18 Ar  Kα1      2.958     100 
18 Ar  Kβ1,3    3.191     10 
19 K   Kα2      3.311     50 
19 K   Kα1      3.314     100 
19 K   Kβ1,3    3.59      11 
20 Ca  Kα2      3.688     50 
20 Ca  Kα1      3.692     100 
20 Ca  Kβ1,3    4.013     13 
21 Sc  Ll       0.348     21 
21 Sc  Lα1,2    0.395     111 
21 Sc  Lβ1      0.4       77 
21 Sc  Kα2      4.086     50 
21 Sc  Kα1      4.091     100 
21 Sc  Kβ1,3    4.46      15 
22 Ti  Ll       0.395     46 
22 Ti  Lα1,2    0.452     111 
22 Ti  Lβ1      0.458     79 
22 Ti  Kα2      4.505     50 
22 Ti  Kα1      4.511     100 
22 Ti  Kβ1,3    4.932     15 
23 V   Ll       0.447     28 
23 V   Lα1,2    0.511     111 
23 V   Lβ1      0.519     80 
23 V   Kα2      4.945     50 
23 V   Kα1      4.952     100 
23 V   Kβ1,3    5.427     15 
24 Cr  Ll       0.5       17 
24 Cr  Lα1,2    0.573     111 
24 Cr  Lβ1      0.583     79 
24 Cr  Kα2      5.405     50 
24 Cr  Kα1      5.415     100 
24 Cr  Kβ1,3    5.947     15 
25 Mn  Ll       0.556     15 
25 Mn  Lα1,2    0.637     111 
25 Mn  Lβ1      0.649     77 
25 Mn  Kα2      5.888     50 
25 Mn  Kα1      5.899     100 
25 Mn  Kβ1,3    6.49      17 
26 Fe  Ll       0.615     10 
26 Fe  Lα1,2    0.705     111 
26 Fe  Lβ1      0.719     66 
26 Fe  Kα2      6.391     50 
26 Fe  Kα1      6.404     100 
26 Fe  Kβ1,3    7.058     17 
27 Co  Ll       0.678     10 
27 Co  Lα1,2    0.776     111 
27 Co  Lβ1      0.791     76 
27 Co  Kα2      6.915     51 
27 Co  Kα1      6.93      100 
27 Co  Kβ1,3    7.649     17 
28 Ni  Ll       0.743     9 
28 Ni  Lα1,2    0.852     111 
28 Ni  Lβ1      0.869     68 
28 Ni  Kα2      7.461     51 
28 Ni  Kα1      7.478     100 
28 Ni  Kβ1,3    8.265     17 
29 Cu  Ll       0.811     8 
29 Cu  Lα1,2    0.93      111 
29 Cu  Lβ1      0.95      65 
29 Cu  Kα2      8.028     51 
29 Cu  Kα1      8.048     100 
29 Cu  Kβ1,3    8.905     17 
30 Zn  Ll       0.884     7 
30 Zn  Lα1,2    1.012     111 
30 Zn  Lβ1      1.035     65 
30 Zn  Kα2      8.616     51 
30 Zn  Kα1      8.639     100 
30 Zn  Kβ1,3    9.572     17 
31 Ga  Ll       0.957     7 
31 Ga  Lα1,2    1.098     111 
31 Ga  Lβ1      1.125     66 
31 Ga  Kα2      9.225     51 
31 Ga  Kα1      9.252     100 
31 Ga  Kβ3      10.26     5 
31 Ga  Kβ1      10.264    66 
32 Ge  Ll       1.036     6 
32 Ge  Lα1,2    1.188     111 
32 Ge  Lβ1      1.218     60 
